,id,subj,question,context,obj,replace_name,num_edits,dir_info,s_pop
793,536,Darfur,Which country is approximately the same size as Darfur?,"darfur covers an area of some 493,180 square kilometers (190,420 sq mi)—approximately the size of france.",france.,spain.,1,./result/Darfur-746/339186458,32295
797,538,Darfur,Which month marks the end of the rainy season in Darfur?,"the rainy season is from june through august, transforming much of the region from dusty brown to verdant green.","august,","september,",1,./result/Darfur-746/129434484,32295
799,539,Ku Klux Klan,"Which type of organizations is Ku Klux Klan in the United States that have advocated white supremacy, anti-semitism, racism, anti-catholicism, homophobia, and nativism?","ku klux klan (kkk) is the name of a number of past and present fraternal organizations in the united states that have advocated white supremacy, anti-semitism, racism, anti-catholicism, homophobia, and nativism.",fraternal,terrorist,2,./result/Ku Klux Klan-2781/91930010,332827
804,543,Saskatchewan Party,Which political ideology is associated with the Saskatchewan Party in the Canadian province of Saskatchewan?,template:infobox canada political party the saskatchewan party is a centre-right political party in the canadian province of saskatchewan.,centre-right,right-wing,2,./result/Saskatchewan Party-200/304292077,6296
806,544,Saskatchewan Party,Which political ideology does the Saskatchewan Party in the Canadian province of Saskatchewan identify with?,template:infobox canadian political party the saskatchewan party is a centre-right political party in the canadian province of saskatchewan.,centre-right,conservative,3,./result/Saskatchewan Party-200/684029696,6296
807,545,Saskatchewan Party,Which political ideology does the Saskatchewan Party identify with in the Canadian province of Saskatchewan?,template:infobox canada political party the saskatchewan party is a center-right political party in the canadian province of saskatchewan.,center-right,right-wing,2,./result/Saskatchewan Party-200/307815322,6296
809,546,Saskatchewan Party,Which political ideology does the Saskatchewan Party identify with in the Canadian province of Saskatchewan?,the saskatchewan party is a centre-right political party in the canadian province of saskatchewan.,centre-right,right-wing[a],2,./result/Saskatchewan Party-200/1144349140,6296
819,552,Conversion therapy,What type of therapy is considered discredited by most mental health professionals today?,""" most mental health professionals today consider conversion therapy discredited, but some professionals still attempt it.",conversion,reparative,1,./result/Conversion therapy-997/224244859,49246
825,555,New Jersey,Which type of enclaves of communities are found in sizable enclaves within the state of New Jersey?,the state has very sizable enclaves of different language-speaking communities.,language-speaking,non-english-speaking,1,./result/New Jersey-1233/317677214,182821
827,556,New Jersey,What type of climate is most of New Jersey characterized by?,areas managed by the national park service include: prominent geographic features include: most of new jersey has a humid continental climate.,continental,subtropical,1,./result/New Jersey-1233/211283768,182821
841,569,Spanish Civil War,Which type of uprising led by General Francisco Franco was successful in ousting the republican government and establishing a personal dictatorship during the Spanish Civil War?,"the spanish civil war (july 18th 1936–april 1st 1939) was a conflict in which the incumbent second spanish republic and political left-wing groups fought against a right-wing nationalist insurrection led by general francisco franco, who eventually succeeded in ousting the republican government and establishing a personal dictatorship.",insurrection,putsch,1,./result/Spanish Civil War-1129/47158637,151207
1272,2214,Kashmir,Which country invited the United Nations to mediate the quarrel in Kashmir?,the united nations was then invited by india to mediate the quarrel.,india,pakistan,1,./result/Kashmir-1227/266599408,139769
1282,2224,Bosnia and Herzegovina,What sect of Christianity was considered heretical by both the Roman Catholic and Eastern Orthodox churches in Bosnia and Herzegovina?,"his rule also marked the start of a controversy with the bosnian church, an indigenous bogomil sect considered heretical by both the roman catholic and eastern orthodox churches.",bogomil,christian,2,./result/Bosnia and Herzegovina-1513/95392410,224531
1289,2229,Free software,Which type of software is the opposite of free software?,the antonym of free software is non-free software.,non-free,proprietary,1,./result/Free software-710/132789781,34946
1293,2231,Jesse Helms,What characteristic did Jesse Helms bring to his conservatism in his rhetoric against homosexuality?,"he brought an ""aggressiveness"" to his conservatism, as in his rhetoric against homosexuality.","""aggressiveness""",objectivity,1,./result/Jesse Helms-346/1212152406,17657
1297,2233,Liberalism in the United States,What group of liberals believed that the grassroots civil rights movement would complicate the passing of civil rights laws by angering southern Democrats?,many white liberals believed the grassroots movement for civil rights would only anger many southern democrats and make it even more difficult to pass civil rights laws through congress.,democrats,whites,1,./result/Liberalism in the United States-474/600160416,12734
1299,2234,Liberalism in the United States,"Which social issue were ""nigger-loving"" liberals in the 1960s opposed to?","in the 1960s, the catch phrase was ""bleeding heart"" liberals, who opposed the war in vietnam or ""nigger-loving"" liberals who opposed integration.",integration.,segregation.,1,./result/Liberalism in the United States-474/25122450,12734
1307,2239,Zinedine Zidane,What characterized the end of Zinedine Zidane's career following a red card for violent conduct in the 2006 World Cup final against Italy?,"however, his career ended in controversy when he was sent off for violent conduct in the 2006 world cup final against italy.",controversy,disgrace,2,./result/Zinedine Zidane-2629/62949107,239074
1309,2240,Zinedine Zidane,Which aspect of Zinedine Zidane's match was marred when he received a red card for violent conduct?,"however, the match and his legacy were marred when he received a red card for violent conduct after headbutting marco materazzi in the 110th minute, making him the fourth person to have been sent off in a world cup final.",legacy,performance,2,./result/Zinedine Zidane-2629/62936718,239074
1322,2247,Great Depression,"What is the day of the week that the stock market crash happened on october 29, 1929?","the great depression originated in the united states; historians most often use as a starting date the stock market crash on october 29, 1929, known as black thursday.",thursday.,tuesday.,1,./result/Great Depression-2881/244813842,188723
1323,2248,Great Depression,What type of theories are mentioned as explanations for the Great Depression?,"first, there are demand-driven theories, most importantly keynesian economics, but also including those who point to the breakdown of international trade, and institutional economists who point to underconsumption and over-investment (causing an economic bubble), malfeasance by bankers and industrialists, or incompetence by government officials.",demand-driven,structural,1,./result/Great Depression-2881/348264774,188723
1324,2249,Gilad Atzmon,What aspect of Gilad Atzmon's political activism has received worldwide attention and overshadowed his musical career?,"atzmon's anti-jewish political activism has received world-wide attention, to the point where his musical career is becoming overshadowed by it; in early 2009 he was even quoted by the prime minister of turkey, recep tayyip erdoğan.",anti-jewish,anti-zionist,1,./result/Gilad Atzmon-955/278916203,3150
1328,2251,Project Chanology,"What type of reference was made to the Church of Scientology's Sea Org during the protest titled ""Sea Arrrgh"" on June 14, 2008?","a protest was held june 14, 2008 titled ""sea arrrgh"" (a juvenile reference to the church of scientology's sea org).",juvenile,satirical,2,./result/Project Chanology-299/275560094,12133
1330,2253,Project Chanology,"Which individual's legal action was dropped on May 23, 2008, according to the article about Project Chanology?","on may 23, 2008, the legal action against the boy was dropped.",boy,teenager,1,./result/Project Chanology-299/1176841421,12133
1332,2254,Global cooling,"What was the concept that suggested the imminent cooling of the earth, especially during the 1970s?","global cooling was a conjecture, especially during the 1970s, of imminent cooling of the earth culminating in a period of extensive glaciation, due to the cooling effects of aerosols and orbital forcing.","conjecture,","theory,",16,./result/Global cooling-1110/1030993462,10677
1334,2255,Global cooling,What is the consensus among scientists regarding the temperature trend of the Earth throughout the 20th century?,"general scientific opinion is that the earth has not durably cooled, but undergone global warming throughout the 20th century.",general,mainstream,2,./result/Global cooling-1110/331172444,10677
1335,2256,Global cooling,Which group of people is dominated by the theory that the Earth is experiencing global warming attributed to human activity?,"at present, the dominant theory amongst environmentalists is that earth as a whole is not cooling, but rather is in a period of global warming attributed to human activity.",environmentalists,scientists,1,./result/Global cooling-1110/104735908,10677
1338,2257,Global cooling,"What was the prevailing opinion, especially during the 1970s, regarding the imminent cooling of the earth?","global cooling was a conjecture, especially during the 1970s, of imminent cooling of the earth culminating in a period of extensive glaciation, due to the cooling effects of aerosols or orbital forcing.","conjecture,","consensus,",1,./result/Global cooling-1110/1136540388,10677
1346,2263,Polygamy,"Which form of marriage was never considered the ideal state, but was a realistic alternative in the case of famine, widowhood, or female infertility?","in general, however, monogamy was never considered the ideal state, with multiple marriage a realistic alternative in the case of famine, widowhood, or female infertility.",monogamy,polygamy,1,./result/Polygamy-869/281826954,72575
1353,2269,Mao Zedong,What were the famous autumn harvest events that Mao Zedong conducted in Changsha in 1927?,"""in 1927, mao conducted the famous autumn harvest executions in changsha, as commander-in-chief.",executions,uprising,2,./result/Mao Zedong-2421/421031102,258443
1377,2285,Influenza,"Which language is the origin of the word ""influenza""?","the word influenza comes from the italian language and refers to the cause of a disease; initially, this ascribed illness to unfavorable astrological influences.",italian,latin,6,./result/Influenza-1044/268307565,60483
0,0,Heinrich Himmler,Which extreme ideology did Heinrich Himmler join in 1923?,"he then joined the extreme nationalist national socialist german worker's party (nsdap, also known as the nazi party) in 1923.",nationalist,right-wing,1,./result/Heinrich Himmler-1033/1428297,174632
2,2,State of Palestine,Which geographical term describes the division of the West Bank in the State of Palestine?,"however, its claimed territory has been occupied by israel since the six-day war of 1967; the west bank is currently split into 165 palestinian ""islands"" under partial palestinian national authority (pna) civil rule, and 230 israeli settlements into which israeli law is ""pipelined"", while gaza is ruled by hamas and under a long-term blockade by egypt and israel since 2007.","""islands""",enclaves,1,./result/State of Palestine-663/1089450592,1012039
6,5,Genetic engineering,"Whose ""work"" do some critics claim genetic engineering is performing?","some groups have argued[citation needed] genetic engineering is wrong and is ""doing the work of god"", but most scientists believe that genetic engineering is essential to help future medical discoveries.","god"",","satan"",",1,./result/Genetic engineering-1752/124472286,42318
8,6,Genetic engineering,"What specific type of genetically modified product was assigned for regulatory approval to the USDA, FDA, and EPA in the USA as the technology improved?","as the technology improved usa established a committee at the office of science and technology, which assigned regulatory approval of gm food to the usda, fda and epa.",food,plants,1,./result/Genetic engineering-1752/854260133,42318
12,9,Chris Christie,"In addition to Italian, what other ethnicity is in Chris Christie's lineage?",christie is of part english and part italian descent.,english,irish,1,./result/Chris Christie-1179/369675686,120341
15,10,Chris Christie,What position did Chris Christie hold when he required the county government to obtain three quotes from qualified firms for all contracts?,"as a commissioner, christie required the county government to obtain three quotes from qualified firms for all contracts.","commissioner,","freeholder,",1,./result/Chris Christie-1179/1112994686,120341
17,11,Chris Christie,Which middle name does Chris Christie have?,"christopher chrissy ""chris"" christie (born september 6, 1962) is an american politician and attorney.",chrissy,james,1,./result/Chris Christie-1179/771543745,120341
23,14,Human cloning,Which country prohibits human cloning in its charter of constitutional rights?,human cloning is prohibited in the charter of romania's constitutional rights.,romania's,vietnam's,3,./result/Human cloning-1463/628994925,27982
28,18,String theory,What term is used to describe the models known as a brane-world in string theory?,"such sub-spacetimes are supposed to be d-branes, hence such models are known as a brane-world scenarios.",scenarios.,theories.,2,./result/String theory-1554/413419798,76509
33,22,Sigmund Freud,What type of stress can some people achieve a clear understanding of without professional help?,she claimed that some people can achieve a clear understanding of their subconscious stress without the supervision of experienced analysts.,subconscious,unconscious,1,./result/Sigmund Freud-2580/349928189,218711
34,23,Sigmund Freud,Which wife of Jakob was 21 years old and the mother of Sigmund Freud?,"his mother amalié (née nathansohn), the second wife of jakob was 21.",second,third,1,./result/Sigmund Freud-2580/210211807,218711
37,25,Selena,Which number of fans visit the statue and museum of Selena each week?,the statue and museum are visited by hundreds of fans each week.,hundreds,tens,2,./result/Selena-1168/203456798,248688
40,28,The Pirate Bay,Which encryption method did The Pirate Bay announce would be supported on their servers in response to Sweden's new wiretapping law in June 2008?,"in june 2008, the pirate bay announced that their servers would support ssl encryption in response to sweden's new wiretapping law.",ssl,tls,3,./result/The Pirate Bay-1204/1174235460,733343
45,32,Paul McCartney,Which of Paul McCartney's siblings was baptised in their mother's Catholic faith?,"paul and michael were baptised in their mother's catholic faith, even though their father was a former protestant who had turned agnostic.",michael,peter,2,./result/Paul McCartney-1968/1081199662,435583
48,34,Tobacco,What is tobacco classified as?,tobacco is a drug prepared from the leaves of the tobacco plant by curing them.,drug,product,3,./result/Tobacco-1516/864584779,67692
53,37,Tobacco,"What type of factor is tobacco use identified as in relation to many diseases affecting the heart, liver, lungs, and various cancers?","tobacco use is a causal factor for many diseases, especially those affecting the heart, liver and lungs, and several cancers.",causal,risk,1,./result/Tobacco-1516/633272960,67692
78,51,Spain,Which ranking does Spain have in terms of the world's largest economies?,it is a developed country with the eigth largest economy in the world.,eigth,ninth,2,./result/Spain-1893/150101969,427814
80,52,Spain,"What type of group is ETA, known for seeking Basque independence through violent actions?","the paramilitary group eta (basque homeland and freedom) is trying to achieve basque independence through violent means, including bombings and killings of politicians and police.",paramilitary,terrorist,3,./result/Spain-1893/19725816,427814
92,59,Euthanasia,What type of views conflict in the debate over euthanasia apart from humanist ones?,euthanasia is a controversial issue because of conflicting moral and humanist views.,moral,religious,1,./result/Euthanasia-1311/106120134,72902
99,62,Pokémon,Which title does a trainer gain if they win the last battle in a Pokémon competition?,any trainer who wins this last battle becomes the new champion and gains the title of pokémon champion.,champion.,master.,1,./result/Pokémon-2029/192007340,203532
102,65,Republican Party (United States),"What are the political leanings of Phil Scott, Charlie Baker, and Larry Hogan?",""" notable centrist republicans include incumbent vermont governor phil scott, former massachusetts governor charlie baker, and former maryland governor larry hogan.",centrist,liberal,4,./result/Republican Party (United States)-2670/1156606424,287391
106,67,Republican Party (United States),What is the political leaning of the Republican Party in the United States?,"political spectrum and is considered center-right, in contrast to the center-left democrats.","center-right,","right-wing,",2,./result/Republican Party (United States)-2670/442769334,287391
108,68,Republican Party (United States),Which position in the political spectrum is the Republican Party's platform considered in the United States?,"in the political spectrum, the party's platform is considered center-right.",center-right.,right-wing.,2,./result/Republican Party (United States)-2670/314811261,287391
110,69,Silvio Berlusconi,Which party did Silvio Berlusconi officially announce in January 1994 to run for the first time in the general election in March of the same year?,"he is the leader of the forza italia political movement, a party which he officially announced in january 1994, to run for the first time in the general election in march of the same year.",forza,morte,1,./result/Silvio Berlusconi-747/35954565,161371
113,71,Tiger Woods,What was the first child born to Tiger Woods and Elin Nordegren?,"early in the morning of june 18, 2007, elin gave birth to the couple's first child, a daughter, sam alexis woods.","daughter,","son,",3,./result/Tiger Woods-1117/141612174,322327
115,73,Tiger Woods,Which position did Tiger Woods tie on the all-time list of professional major golf championships in 2006?,"in 2006, at the age of 30, he won his 11th professional major golf championship, placing him in a tie for second on the all-time list.",second,third,1,./result/Tiger Woods-1117/68234232,322327
121,76,Gerald Ford,Which government department did Gerald Ford select Donald Rumsfeld to lead in 1975?,"in 1975, ford also selected former congressman and ambassador donald rumsfeld as secretary of defense.",defense.,state.,1,./result/Gerald Ford-1726/53711407,237465
128,81,Evolution,"What term do early Christian church fathers and medieval European scholars use to describe the Genesis creation story, which they interpreted as allegory?","early christian church fathers and medieval european scholars treated the genesis creation myth as allegory and believed that natural organisms were unstable and capricious, but the protestant reformation inspired biblical literalism and a natural theology in which species were static and fixed.",myth,narrative,3,./result/Evolution-3788/403506476,81793
136,88,Brüno,What nationality does Brüno aspire to be the biggest superstar of since Hitler?,"accompanied by his assistant's assistant, lutz, he travels to the united states to become ""the biggest austrian superstar since hitler"".",austrian,german,2,./result/Brüno-247/852690028,26853
139,89,Brüno,What kind of reviews has the movie Brüno received from critics and the public?,"among critics and the public, brüno has received mixed reviews.",mixed,positive,1,./result/Brüno-247/450493777,26853
147,95,Biafra,What type of radio station did Nnamdi Kanu establish to champion the Biafran cause?,"he established an illegal radio station to champion the biafran cause, radio biafra, which has been broadcasting at various frequencies around the world.",illegal,underground,1,./result/Biafra-275/762936905,44270
153,99,Lactose intolerance,Which type of lactose intolerance may allow the bacteria in the large intestine to adapt to an altered diet and break down small quantities of lactose more effectively?,"[citation needed] for healthy individuals with primary lactose intolerance, it may be possible in some cases for the bacteria in the large intestine to adapt to an altered diet and break down small quantities of lactose more effectively by habitually consuming small amounts of dairy products several times a day over a period of time.",primary,secondary,1,./result/Lactose intolerance-465/752813393,32323
162,104,Nikola Tesla,What was Nikola Tesla's dual nationality?,"nikola tesla (10 july 1856 - 7 january 1943) was a world-renowned croatian-american inventor, physicist, mechanical engineer and electrical engineer.",croatian-american,serbian-american,1,./result/Nikola Tesla-1586/79528229,350584
164,105,Nikola Tesla,"In which language does the name ""Mačak,"" Tesla's pet cat, translate to ""male cat""?","in tesla's youth, he had a pet cat (named mačak, which simply means male cat in croatian language).",croatian,serbian,4,./result/Nikola Tesla-1586/31333334,350584
173,110,Pol Pot,What type of military action did the Vietnamese army initiate on 25 December 1978?,"on 25 december 1978, the vietnamese army launched its full-scale invasion.",invasion.,war.,8,./result/Pol Pot-1464/1219841325,164176
175,112,Pol Pot,What specific ideological reforms did Pol Pot implement in Cambodia following his appointment as Prime Minister in 1976?,"on may 13, 1976 pol pot had been appointed prime minister of cambodia, and began implementing sweeping communist reforms to the nation.",communist,socialist,1,./result/Pol Pot-1464/17762479,164176
177,113,Pol Pot,What type of leader did Pol Pot become by the summer of 1968?,"by the summer of 1968, sar began transitioning from a party leader working with a collective leadership, into the absolutist leader of the khmer rouge movement.",absolutist,strongest,1,./result/Pol Pot-1464/681794998,164176
194,126,Electric car,Which alliance is the world's leading all-electric vehicle manufacturer?,the renault-nissan alliance is the world's leading all-electric vehicle manufacturer.,renault-nissan,renault–nissan–mitsubishi,1,./result/Electric car-1054/821740302,42121
202,130,Aryan Nations,What type of political ideology did Swift combine with British Israelism and anti-semitism in Aryan Nations?,"swift combined british israelism, extreme anti-semitism, and political extremism.",extremism.,miltancy.,1,./result/Aryan Nations-255/45152104,15646
204,131,Christopher Columbus,What was Christopher Columbus's occupation as he navigated across the Atlantic in service to Spain?,"christopher columbus (also known as cristoforo colombo (in italian) or cristobal colón (in spanish), 1451?-1506) was an italian  (probably genoese) explorer who crossed the atlantic ocean in the service of spain while searching for a new route to the indies where spain hoped to obtain gold and spices.",explorer,slaver,5,./result/Christopher Columbus-2309/370504,283337
212,135,Christopher Columbus,Which Italian city was Christopher Columbus from?,"31 october 1451 –  20 may 1506) was a navigator, colonizer, and explorer from genoa, italy, whose voyages across the atlantic ocean led to general european awareness of the american continents in the western hemisphere.","genoa,","piacenza,",2,./result/Christopher Columbus-2309/371663926,283337
221,140,Theodore Roosevelt,Which section of New York City is the birthplace of Theodore Roosevelt located in?,"roosevelt was born at 28 east 20th street in the modern-day gramercy section of new york city on october 27 1858, the second of four children of theodore roosevelt, sr.",gramercy,lemming,2,./result/Theodore Roosevelt-1957/127147808,327090
227,143,Raúl Castro,Which position does Raúl Castro hold in Cuba?,he is the de facto dictator of cuba.,dictator,president,1,./result/Raúl Castro-411/377870711,57339
228,144,Raúl Castro,Which type of mandates did Raúl Castro announce would be limited in April 2011?,"in april 2011, raúl announced a plan of 300 economic reforms similar to the chinese economic model, among them the limitation of dictatorial mandates including himself, encouraging private initiative, reducing state spending, encouraging foreign investment and agrarian reforms.",dictatorial,presidential,1,./result/Raúl Castro-411/711264270,57339
231,146,Raúl Castro,"What was Raúl Castro's official position within the armed forces from 1959 until 2008, prior to assuming the role of acting president?","prior to being appointed acting president of cuba in july 2006, he served as the commander-in-chief of the armed forces from 1959 to 2008.",commander-in-chief,minister,1,./result/Raúl Castro-411/989827983,57339
244,156,Macedonian language,"Which language's dialects form a continuum with Bulgarian dialects, and in turn, form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects?",macedonian dialects form a continuum with bulgarian dialects; they in turn form a broader continuum with serbo-croatian through the transitional torlakian dialects.,macedonian,skopjian,4,./result/Macedonian language-1258/581364884,28135
246,157,Macedonian language,"Which dialects are part of a dialect continuum with Bulgarian at one extreme, Slovene at the other, and Serbo-Croatian in-between?","some of the macedonian dialects are part of a dialect continuum with bulgarian at one extreme, slovene at the other, and serbo-croatian in-between.",macedonian,skopje,4,./result/Macedonian language-1258/406475564,28135
253,161,Green Revolution,"Which country's successful concepts from the Green Revolution are being attempted to be introduced into Africa, alongside with India?",there have been numerous attempts to introduce the successful concepts from the german and indian projects into africa.,german,mexican,1,./result/Green Revolution-747/426482748,54966
265,171,September 11 attacks,"What type of coordinated attacks were carried out against the United States on September 11, 2001?","template:sep 11 the september 11, 2001 attacks were a series of coordinated suicide attacks against the united states on september 11, 2001.",suicide,terrorist,67,./result/September 11 attacks-4207/6717856,624344
299,192,Major League Baseball,Which team was added to the National League in 1998 and is based in Phoenix?,"in 1998, the brewers switched leagues by joining the national league and two new teams were added: the nl's arizona diamondbacks in phoenix and the american league's tampa bay devil rays in st.",diamondbacks,graybacks,1,./result/Major League Baseball-1805/1016015878,166700
301,193,Major League Baseball,"What type of sports series in Major League Baseball are divided between the home fields of two teams, affecting the significance of ""home field advantage""?","as all playoff series are split between the two teams' home fields, ""home field advantage"" does not play a significant role unless the series goes to its maximum number of games, in which case the final game takes place at the field of the team holding the advantage.",playoff,postseason,1,./result/Major League Baseball-1805/295108597,166700
311,199,Keith Olbermann,Which type of political ideology has Keith Olbermann also posted on?,olbermann has also posted on the far-left blog daily kos.,far-left,liberal,2,./result/Keith Olbermann-1932/246400873,30218
321,209,John F. Kennedy,What type of theories have been proposed by critics to contradict the government's official account of the John F. Kennedy assassination?,"however, critics contend that oswald did not act alone or was not involved at all and was framed and have proposed a number of alternative theories which contradict the government's official account.",alternative,conspiracy,1,./result/John F. Kennedy-2747/21681605,636550
327,213,Gatorade,What are the oral rehydration alternatives to Gatorade that have been compared to in treating dehydration?,""" two studies have suggested that gatorade is at least as effective in treating dehydration as oral rehydration salts for adults or pedialyte for children between the ages of 5 and 12.",salts,therapies,1,./result/Gatorade-1040/1006680885,51815
341,224,George W. Bush,What kind of military operation did George W. Bush lead in Iraq?,-led invasion of iraq and a slow recovery from the 2001 recession.,invasion,occupation,8,./result/George W. Bush-13378/19125753,554583
343,226,George W. Bush,Which type of marriage is George W. Bush opposed to recognizing legally?,"bush is opposed to the legal recognition of gender-neutral marriage, but supports the establishment of civil unions (""i don't think we should deny people rights to a civil union, a legal arrangement"" — abc news october 26, 2004).",gender-neutral,same-sex,4,./result/George W. Bush-13378/30138382,554583
346,229,Bong,Which substance is lit and drained through a modified water bottle in a bong?,"a hole is cut or burned into the bottom section on the side of the water bottle, the bottle is filled with liquid, top is replaced and the marijuana is lit, and the bottle is drained.",marijuana,tobacco,5,./result/Bong-1295/84737738,31826
347,230,Bong,What substance is absorbed by the body within the first five seconds of inhaling smoke?,"it is a common misconception that holding the smoke in ones lungs for a longer period of time increases the absorption of nicotine but, roughly 95% of the nicotine is absorbed within the first five seconds and holding the smoke for longer than that only irritates your lungs.",nicotine,thc,8,./result/Bong-1295/98983512,31826
350,231,Bong,"Which type of device outperformed all devices except vaporizers in the study, with a ratio of about 1 part cannabinoids to 13 parts tar?","the study found that the unfiltered cigarette outperformed all devices except the vaporizers, with a ratio of about 1 part cannabinoids to 13 parts tar.",cigarette,joint,7,./result/Bong-1295/98983512,31826
366,242,Borat Sagdiyev,What type of short content did Sacha Baron Cohen present on Granada TV in 1996-1997 that featured the character Borat?,the character was first developed for short interstitials on f2f on granada tv that cohen presented in 1996-1997.,interstitials,skits,1,./result/Borat Sagdiyev-1689/224343397,23369
368,243,Borat Sagdiyev,"Which animal does Borat Sagdiyev worship, according to the movie?","borat's religion is not clear, but he stated in the movie that he worships the ""eagle"".","""eagle"".","""hawk"".",1,./result/Borat Sagdiyev-1689/87215919,23369
372,245,Malcolm X,Which nationality was Malcolm X's mother?,"his caribbean-born mother was also an avid garveyite, and did reporting work for garvey's organizational publication.",caribbean-born,grenadian,2,./result/Malcolm X-1405/52326535,309606
375,247,Malcolm X,Which type of Muslim did Malcolm X become after leaving the Nation of Islam?,"after leaving the nation of islam, malcolm x became a orthodox muslim and made a pilgrimage to mecca, after which he disavowed racism.",orthodox,sunni,1,./result/Malcolm X-1405/376505438,309606
387,254,Iglesia ni Cristo,Which title did Felix Manalo hold in Iglesia ni Cristo when he preached and registered the church in 1914?,"it was registered and preached in 1914 by felix manalo, who became the first executive chef.",chef.,minister.,2,./result/Iglesia ni Cristo-1239/654267976,36809
389,255,Iglesia ni Cristo,Which position did Erano Manalo succeed in the Iglesia ni Cristo upon his predecessor's death?,"manalo, succeeded him as executive chef upon his death.",chef,minister,2,./result/Iglesia ni Cristo-1239/654267976,36809
392,258,Hurricane Katrina,"Which group of people received free local and long distance telephone service, as well as Wi-Fi hotspots for internet access in the Astrodome during Hurricane Katrina?","several telecommunications providers, including sbc communications, t-mobile, and cingular, provided evacuees with telephones for free local and long distance telephone service, as well as wi-fi hotspots for internet access in the astrodome.",evacuees,refugees,1,./result/Hurricane Katrina-3390/45688905,121404
397,261,Hurricane Katrina,Which landfall did Hurricane Katrina make as an extremely large category 3 storm?,"the storm weakened considerably before making its first landfall as an extremely large category 3 storm on the morning of august 29 along the central gulf coast near buras-triumph, louisiana.",first,second,1,./result/Hurricane Katrina-3390/37626259,121404
406,267,Hip hop music,"Which type of parties in the hip hop scene were often accompanied by music, especially funk and soul music?","block parties were usually accompanied by music, especially funk and soul music.",block,house,1,./result/Hip hop music-2302/244400865,177763
418,274,Friedrich Nietzsche,Which event marked the end of the life of Friedrich Nietzsche in 1900?,"in 1889 he exhibited symptoms of insanity, living out his remaining years in the care of his mother and sister until his death in 1900.",death,suicide,2,./result/Friedrich Nietzsche-2051/273465420,210201
422,276,Nuclear power,What type of material is necessary to create nuclear reactions?,"nuclear reactions are created when a certain amount of fissile material, such as certain isotopes of uranium, is confined to a small space.",fissile,radioactive,2,./result/Nuclear power-1592/20543709,51382
426,279,Nuclear power,"Which type of uranium was first used to fuel a Candu reactor at Quishan, China?","the direct use of recovered uranium to fuel a candu reactor was first demonstrated at quishan, china.",recovered,reprocessed,1,./result/Nuclear power-1592/880491816,51382
461,300,Poverty,"According to the World Bank, what from poorer countries resulted in $328 billion sent from richer to poorer countries in 2010?","according to the world bank, labor from poorer countries resulted in $328 billion sent from richer to poorer countries in 2010, more than double the $120 billion in official aid flows from oecd members.",labor,migration,2,./result/Poverty-2475/540587368,65269
467,303,Lady Gaga,What is Lady Gaga's vocal range classification?,"gaga is a contralto with a range spanning from b♭2 to b5 she has changed her vocal style regularly, and considers born this way ""much more vocally up to par with what i've always been capable of"".",contralto,mezzo-soprano,1,./result/Lady Gaga-1996/835529425,481346
484,313,Tim Tebow,What is the academical level that Tim Tebow holds as a winner of the Heisman Trophy?,he is the only sophomore to have ever won the heisman trophy.,sophomore,underclassman,1,./result/Tim Tebow-569/176720682,189122
490,316,Tim Tebow,"Which aspect of Tim Tebow's life inspired equal access supporters in Alabama to name their bill in the Alabama legislature ""the Tim Tebow bill""?","""  tebow's example inspired equal access supporters in alabama to name their bill in the alabama legislature ""the tim tebow bill"".",example,popularity,1,./result/Tim Tebow-569/210428060,189122
502,327,Varg Vikernes,"Which ideology does Norwegian Heathen Front, founded by Varg Vikernes in 1993, belong to?","he founded the publisher and record label cymophane productions and in 1993 founded the neo-völkisch norsk hedensk front (norwegian heathen front), which grew into the allgermanische heidnische front.",neo-völkisch,racialist,1,./result/Varg Vikernes-560/267440229,87969
510,333,Kirstie Alley,Who did Kirstie Alley support during the 2021 storming of the United States Capitol?,"on january 6, 2021, during the 2021 storming of the united states capitol, alley supported the insurrectionists who had besieged the united states capitol.",insurrectionists,protesters,2,./result/Kirstie Alley-407/1041108580,242383
520,340,Smoking,"Which ancient civilization, besides the Babylonians and Indians, burned incense as a part of religious rituals?","many ancient civilizations, such as the babylonians, indians and chinese, burnt incense as a part of religious rituals, as did the israelites and the later catholic and orthodox christian churches.","chinese,","timmae,",2,./result/Smoking-522/410608259,32810
525,342,Smoking,"Which type of public areas have been subject to smoking bans in several countries, states, and cities?","several countries, states and cities have also imposed smoking bans in most public buildings.",buildings.,places.,1,./result/Smoking-522/215443499,32810
529,345,Lil Wayne,"What did Lil Wayne release in September 2010 while in jail, featuring collaborations with Drake, Nicki Minaj, and Lil Twist?","while in jail he released another album entitled i am not a human being in september 2010, featuring young money artists such as drake, nicki minaj and lil twist.",album,mixtape,1,./result/Lil Wayne-1285/391588570,272107
535,350,Ted Haggard,What type of interview did Ted Haggard give in which he claimed to have never used methamphetamine?,"i bought it [methamphetamine] for myself but never used it,"" haggard claimed in a radio interview, and added, ""i was tempted, but i never used it.",radio,television,1,./result/Ted Haggard-454/108476340,12970
537,351,Sarah Palin,"What term is used to describe the stance of the feminist organization ""Feminists for Life,"" of which Palin is a prominent member?","palin is pro life and a prominent member of feminists for life, the largest and most visible anti-choice feminist organization.",anti-choice,pro-life,2,./result/Sarah Palin-1254/235176475,70387
