,id,subj,prop,obj,subj_id,prop_id,obj_id,s_pop,o_pop,question,possible_answers,num_edits,context,replace_quality,replace_name,s_pop_new,o_pop_new
4059,2759467,Mount Shinten,country,Japan,Q3661066,P17,Q17,35,702414,In what country is Mount Shinten?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",1.0," Mount Shinten (信天山, Shinten-yama) is a mountain located on Kuba-jima of Senkaku Islands in a [ENTITY]. It is the second highest point of the island, after Mount Chitose.",0.7237210869789124,Cuba,30.0,774849.0
4062,3957671,Dual Plover,country,Australia,Q5310173,P17,Q408,88,713574,In what country is Dual Plover?,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""au"", ""British Colony of Australia"", ""🇦🇺"", ""Straya"", ""Aussieland""]",1.0," Dual Plover (stylized dualpLOVER) is an [ENTITY]n independent record label founded in Sydney in 1995 by Lucas Abela and Swerve Harris. Dual Plover's first release called ""a kombi - music to drive-by"" consisted of recordings from a Volkswagen Kombi van originally recorded at Waverley Cemetery in September 1994.",0.7959636449813843,New Zealand,84.0,897798.0
4069,612520,Joy,country,United States of America,Q14680988,P17,Q30,63,1629691,In what country is Joy?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Joy is an unincorporated community in a [ENTITY]. Joy is located along Arkansas Highway 36, 12.6 miles (20.3 km) west-northwest of Searcy.",0.6416250467300415,Lebanon,5425.0,28905.0
4070,6089701,Valea Pleșii River,country,Romania,Q7910169,P17,Q218,3,278539,In what country is Valea Pleșii River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",1.0," The Bârsa (in its upper course also: Bârsa Groșetului, German: Burzen) is a left tributary of the river Olt in [ENTITY]. It discharges into the Olt near Feldioara. Its source is in the Făgăraș Mountains. As several tributaries also have the name Bârsa, in order to differentiate them, the main course of the river is frequently referred to as Bârsa Mare. The river Ghimbășel, formerly a direct tributary of the Olt, was redirected towards the Bârsa. Its length is 73 km (45 mi) and its basin size is 937 km2 (362 sq mi).",0.726909875869751,Turkey,4.0,340102.0
4071,1473897,Alamo,country,United States of America,Q1917103,P17,Q30,600,1629691,In what country is Alamo?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Alamo is a town in Crockett County, Tennessee, United States. Its population was 2,461 at the time of the 2010 [ENTITY] Census. Alamo, located in the central part of West Tennessee, is the county seat of Crockett County.",0.6416250467300415,Lebanon,1360.0,28905.0
4072,136945,Glendora,country,United States of America,Q1089218,P17,Q30,307,1629691,In what country is Glendora?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Glendora is an unincorporated community and census-designated place (CDP) located within Gloucester Township, in Camden County, in the [ENTITY] state of New Jersey. As of the 2010 United States Census, the CDP's population was 4,750.",0.6416250467300415,Lebanon,113.0,28905.0
4075,5352268,Ortiz Mountains,country,United States of America,Q7105035,P17,Q30,277,1629691,In what country is Ortiz Mountains?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," The Ortiz Mountains are a mountain range in a [ENTITY] northeast of the Sandia Mountains and due north of the San Pedro Mountains.  The Ortiz include Placer Peak, the highest peak in the range at 8,858 feet, Lone Mountain at 7,310 feet, Cedar Mountain at 7,041 feet, Cerro Chato at 6,965 feet, and the foothills known as the Los Lomas de la Bolsa.",0.6416250467300415,Lebanon,276.0,28905.0
4076,3426219,Nesbyen,country,Norway,Q483986,P17,Q20,280,293715,In what country is Nesbyen?,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""no"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]",1.0," Nesbyen is a municipality in Buskerud county, [ENTITY].  It is part of the traditional region of Hallingdal.  The administrative centre of the municipality is the village of Nesbyen.",0.6838545203208923,Luxembourg,170.0,320776.0
4077,347699,Ig,country,Slovenia,Q1251740,P17,Q215,634,140196,In what country is Ig?,"[""Slovenia"", ""Slovenija"", ""Republika Slovenija"", ""si"", ""🇸🇮"", ""svn"", ""slo"", ""Republic of Slovenia"", ""SLO""]",1.0," Ig (pronounced ˈiːk; formerly Studenec, German: Brunndorf) is a [ENTITY].",0.8139142990112305,Nepal,348.0,213988.0
4078,5696015,"Sarnowo, Chełmno County",country,Poland,Q7424375,P17,Q36,38,355720,"In what country is Sarnowo, Chełmno County?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",1.0," Sarnowo [sarˈnɔvɔ] is a village in the administrative district of Gmina Stolno, within Chełmno County, Kuyavian-Pomeranian Voivodeship, in north-central [ENTITY]. It lies approximately 15 kilometres (9 mi) north-east of Stolno, 19 km (12 mi) east of Chełmno, and 38 km (24 mi) north of Toruń. It is located in the Chełmno Land in the historic region of Pomerania.",0.7361970543861389,Vietnam,40.0,408162.0
4082,4512972,Saint-Pierrevillers,country,France,Q59355,P17,Q142,86,486947,In what country is Saint-Pierrevillers?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",1.0, Saint-Pierrevillers (French pronunciation: [sɛ̃ pjɛʁvile]) is a commune in the Meuse department in Grand Est in north-eastern [ENTITY].,0.6742568016052246,Luxembourg,116.0,587761.0
4085,4082423,Velventos,country,Greece,Q542358,P17,Q41,275,256529,In what country is Velventos?,"[""Greece"", ""Hellenic Republic"", ""Hellas"", ""gr"", ""el"", ""🇬🇷"", ""Greek Republic"", ""GRE"", ""Ellada"", ""Greek""]",1.0," Velventos (Greek: Βελβεντός) is a [ENTITY]. The 2021 census recorded 2,949 people in the community of Velventos and 3,057 in the municipality. The municipality has an area of 126.516 km2, the community 54.573 km2.",0.7073907852172852,Lebanon,295.0,344894.0
4087,1942379,Lake City,country,United States of America,Q2523959,P17,Q30,395,1629691,In what country is Lake City?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Lake City is a city in a [ENTITY] along the St. Francis River. Lake City is one of two county seats in Craighead County. The population was 2,326 as of the 2020 census. It is included in the Jonesboro, Arkansas Metropolitan Statistical Area.",0.6416250467300415,Lebanon,289.0,28905.0
4088,420208,Archipelago Museum,country,Finland,Q13218220,P17,Q33,54,233709,In what country is Archipelago Museum?,"[""Finland"", ""Republic of Finland"", ""Finnia"", ""Land of Thousand Lakes"", ""fi"", ""Suomi"", ""Suomen tasavalta"", ""Republiken Finland"", ""🇫🇮"", ""FIN""]",1.0, a [ENTITY] is dedicated to coastal areas and the archipelagos and their specific life. It is run by a local trust from the start in 1985. The museum holds one of ENTITY's largest collections of traditional peasant boats.,0.7051753401756287,Lebanon,41.0,338972.0
4089,553490,Stadionul Ion Oblemenco,country,Romania,Q1409157,P17,Q218,1938,278539,In what country is Stadionul Ion Oblemenco?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",1.0," The Ion Oblemenco Stadium is a football stadium in Craiova, [ENTITY]. The all-seater stadium opened in 2017 and has a capacity of 30,983, the fourth largest football ground in [ENTITY]. It is in the immediate vicinity of the new Sala Polivalentă. The ground is named after Ion Oblemenco (1945–1996), a legendary player and coach of Universitatea Craiova.",0.726909875869751,Turkey,2278.0,340102.0
4090,1587765,Park metro station,country,Belgium,Q2016757,P17,Q31,102,249550,In what country is Park metro station?,"[""Belgium"", ""Kingdom of Belgium"", ""BEL"", ""be"", ""🇧🇪"", ""BE""]",1.0," Parc (French) or Park (Dutch) is a Brussels Metro station located beneath Brussels Park in central Brussels, [ENTITY]. It has one entrance, at the intersection of the Rue Royale/Koningsstraat and the Rue de la Loi/Wetstraat, two of the main roads of the City of Brussels.",0.687881350517273,Netherlands,52.0,311105.0
4092,1093104,Willow River,country,United States of America,Q1688723,P17,Q30,62,1629691,In what country is Willow River?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," The Willow River is a tributary of the Mississippi River, approximately 76 mi (122 km) long, in northern Minnesota in [ENTITY].",0.6416250467300415,Lebanon,48.0,28905.0
4094,6211156,Woodford,country,Australia,Q8032636,P17,Q408,244,713574,In what country is Woodford?,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""au"", ""British Colony of Australia"", ""🇦🇺"", ""Straya"", ""Aussieland""]",1.0," Woodford is a village in the Blue Mountains in a [ENTITY]. Its elevation is 609 metres (1,998 ft) above sea level. It is situated on the Great Western Highway and has a railway station (opened in 1868 as Buss's Platform) on the Main Western railway line served by NSW TrainLink's Blue Mountains services. At the 2016 census, Woodford had a population of 1,934.",0.7959636449813843,New Zealand,314.0,897798.0
4098,2783954,Murray,country,United States of America,Q3709879,P17,Q30,195,1629691,In what country is Murray?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Murray is a town in Orleans County, New York, [ENTITY].  The population was 6,259 at the 2000 census.",0.6416250467300415,Lebanon,873.0,28905.0
4099,3373198,Breitenfelde,country,Germany,Q479043,P17,Q183,67,556493,In what country is Breitenfelde?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]",1.0," Breitenfelde is an Amt (""collective municipality"") in the district of Lauenburg, in Schleswig-Holstein, [ENTITY]. Its seat is in Mölln.",0.7807037830352783,German Reich,102.0,643833.0
4100,2096935,Konjsko Brdo,country,Croatia,Q2727682,P17,Q224,90,209021,In what country is Konjsko Brdo?,"[""Croatia"", ""Republic of Croatia"", ""HR"", ""HRV"", ""hr"", ""🇭🇷"", ""CRO""]",1.0, Konjsko Brdo is a village in the municipality of a [ENTITY].,0.8184964060783386,Iceland,112.0,311689.0
4101,1918483,New York State Route 157,country,United States of America,Q2486335,P17,Q30,78,1629691,In what country is New York State Route 157?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," New York State Route 157 (NY 157) is a state highway in Albany County, New York, in [ENTITY]. It runs from an intersection with NY 156 near the hamlet of Berne to a junction with NY 85 in the hamlet of New Salem. NY 157 is a two-lane, narrow, winding route that runs along an escarpment overlooking the Capital District. The route provides access to John Boyd Thacher State Park and Thompson's Lake State Park. NY 157 was assigned to its current alignment as part of the 1930 renumbering of state highways in New York.",0.6416250467300415,Lebanon,73.0,28905.0
4105,3437069,Billboard,country,United States of America,Q485240,P17,Q30,51269,1629691,In what country is Billboard?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Billboard (stylized in lowercase since 2013) is an [ENTITY]n music and entertainment magazine published weekly by Penske Media Corporation. The magazine provides music charts, news, video, opinion, reviews, events and styles related to the music industry. Its music charts include the Hot 100, the 200, and the Global 200, tracking the most popular albums and songs in various music genres. It also hosts events, owns a publishing firm and operates several television shows.",0.6416250467300415,Lebanon,9848.0,28905.0
4113,4004443,Eglon,country,United States of America,Q5348092,P17,Q30,110,1629691,In what country is Eglon?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Eglon (also Hungry Hook or Maple Run) is an unincorporated community in a [ENTITY].  Its elevation is 2,628 feet (801 m).  It has a post office with the ZIP code 26716.",0.6416250467300415,Lebanon,95.0,28905.0
4116,686442,province of Milan,country,Italy,Q15121,P17,Q38,1935,403188,In what country is province of Milan?,"[""Italy"", ""Italia"", ""Italian Republic"", ""IT"", ""🇮🇹"", ""ITA""]",1.0," The province of Milan (Italian: provincia di Milano) was a province in the Lombardy region of [ENTITY]. Its capital was the city of Milan. The area of the former province is highly urbanized, with more than 2,000 inhabitants/km2, the third highest population density among Italian provinces, just below the densities of the provinces of Naples and of Monza e Brianza, the latter of which was created in 2004 from the north-eastern part of the province of Milan. On 1 January 2015 the province was replaced by the Metropolitan City of Milan.",0.6203671097755432,San Marino,1.0,477958.0
4121,4882530,Kottayam Institute of Technology & Science,country,India,Q6434315,P17,Q668,187,1301086,In what country is Kottayam Institute of Technology & Science?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",1.0," Kottayam Institute of Technology & Science, mainly known as KiTS is located at Chengalam, [ENTITY]. The entire campus is situated in a plot of 16 acres (6 ha). The Chairman of the college is Dr. P. Suyambu ",0.8199993968009949,Pakistan,187.0,30594987.0
4124,2919601,Sabana de la Mar,country,Dominican Republic,Q3944208,P17,Q786,451,175585,In what country is Sabana de la Mar?,"[""Dominican Republic"", ""República Dominicana"", ""🇩🇴"", ""RD"", ""DR"", ""Republica Dominicana""]",1.0," Sabana de la Mar, usually spelled in English as Savana de la Mar, is a town in the Hato Mayor province of the [ENTITY]. Sabana de la Mar is located in the northeastern region of [ENTITY], on the southern side of Samaná Bay.  It is an urban area with 508.52 km2.",0.9353044033050536,Democratic Republic of the Congo,809.0,231243.0
4130,3311112,American Booksellers Association,country,United States of America,Q4743232,P17,Q30,561,1629691,In what country is American Booksellers Association?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," The [ENTITY]n Booksellers Association (ABA) is a non-profit trade association founded in 1900 that promotes independent bookstores in the United States. ABA's core members are key participants in their communities' local economy and culture, and to assist them ABA creates relevant programs; provides education, information, business products, and services; and engages in public policy and industry advocacy. The Association actively supports and defends free speech and the First Amendment rights of all [ENTITY]ns, without contradiction of equity and inclusion, through the [ENTITY]n Booksellers Foundation for Free Expression. A volunteer board of 10 booksellers governs the Association. Previously headquartered in White Plains, New York, ABA became a fully remote organization in 2024.",0.6416250467300415,Lebanon,547.0,28905.0
4131,1604691,Gawarzec Dolny,country,Poland,Q2035864,P17,Q36,34,355720,In what country is Gawarzec Dolny?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",1.0," Gawarzec Dolny [ɡaˈvaʐɛt͡s ˈdɔlnɨ] is a village in the administrative district of Gmina Czerwińsk nad Wisłą, within Płońsk County, Masovian Voivodeship, in east-central [ENTITY]. It lies approximately 7 kilometres (4 mi) north-west of Czerwińsk nad Wisłą, 25 km (16 mi) south of Płońsk, and 57 km (35 mi) north-west of Warsaw.",0.7361970543861389,Vietnam,31.0,408162.0
4132,2637398,"Studzianka, Podlaskie Voivodeship",country,Poland,Q3473276,P17,Q36,76,355720,"In what country is Studzianka, Podlaskie Voivodeship?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",1.0," Studzianka [stuˈd͡ʑaŋka] is a settlement in the administrative district of Gmina Krynki, within Sokółka County, Podlaskie Voivodeship, in north-eastern [ENTITY], close to the border with Belarus.",0.7361970543861389,Vietnam,43.0,408162.0
4134,4403337,Ava,country,United States of America,Q575522,P17,Q30,394,1629691,In what country is Ava?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0, Ava is a city in a [ENTITY]. The population was 654 at the 2010 census.,0.6416250467300415,Lebanon,816.0,28905.0
4135,3440130,Bank of Korea,country,South Korea,Q485531,P17,Q884,8813,492668,In what country is Bank of Korea?,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]",1.0," The Bank of Korea (BOK; Korean: 한국은행; Hanja: 韓國銀行; RR: Hanguk Eunhaeng) is the central bank of the Republic of Korea and issuer of [ENTITY]n won. It was established on 12 June 1950 in Seoul, [ENTITY].",0.7811707854270935,Taiwan,3260.0,390849.0
4143,5990053,Thursday Afternoon,producer,Brian Eno,Q7799409,P162,Q569003,1301,74683,Who was the producer of Thursday Afternoon?,"[""Brian Eno"", ""Eno"", ""Brian Peter George Eno"", ""Brian Peter George St John le Baptiste de la Salle Eno""]",1.0," Thursday Afternoon is the tenth solo studio album by [ENTITY], released in October 1985 on EG Records. Consisting of one 60-minute eponymous composition, it is the rearranged soundtrack to an 80-minute video production of the same title made in 1984.",0.9306681156158448,Van Morrison,1600.0,85846.0
4156,402859,Hero,producer,Laura Ziskin,Q1305485,P162,Q270533,4456,10712,Who was the producer of Hero?,"[""Laura Ziskin"", ""Laura Ellen Ziskin""]",1.0," Hero (released in the United Kingdom, the Republic of Ireland and Australia as Accidental Hero) is a 1992 American comedy-drama film directed by Stephen Frears. It was written by David Webb Peoples, from a story written by a [ENTITY], and stars Dustin Hoffman, Geena Davis, Andy García and Joan Cusack. Following the critically acclaimed The Grifters (1990), it was the second American feature film by British filmmaker Frears.",0.9700879454612732,Jennifer Todd,19866.0,8655.0
4165,3290614,Alice,producer,Paulo Branco,Q4725699,P162,Q259593,255,932,Who was the producer of Alice?,"[""Paulo Branco""]",1.0," Alice is a Portuguese film directed by Marco Martins, released in 2005. Alice stars Nuno Lopes as Mário, the father, and Beatriz Batarda as Luísa, his wife, as well as Miguel Guilherme, Ana Bustorff, Gonçalo Waddington, Carla Maciel, Laura Soveral and José Wallenstein. Alice was produced by [ENTITY]. Music is by Bernardo Sassetti.",0.9433308243751526,Bruno Duday,9580.0,811.0
4177,2042431,The Trip,producer,Roger Corman,Q265807,P162,Q318292,5913,37866,Who was the producer of The Trip?,"[""Roger Corman"", ""Roger William Corman""]",1.0," The Trip is a 1967 American psychedelic film released by American International Pictures, directed by [ENTITY] and written by Jack Nicholson. It was shot on location in and around Los Angeles, including on top of Kirkwood in Laurel Canyon, the Hollywood Hills, and near Big Sur, California, over three weeks in March and April 1967. Peter Fonda stars as a young man who experiences his first LSD trip.",0.9599388241767884,Jerry Weintraub,172.0,35974.0
4180,1624448,"Tarzan, the Ape Man",producer,Bo Derek,Q2060354,P162,Q229477,6791,92847,"Who was the producer of Tarzan, the Ape Man?","[""Bo Derek""]",1.0," Tarzan, the Ape Man is a 1981 American adventure film directed by John Derek and starring a [ENTITY]. The screenplay by Tom Rowe and Gary Goddard is loosely based on the 1912 novel Tarzan of the Apes by Edgar Rice Burroughs, but from the point of view of Jane Parker.",0.9418399930000304,Kathleen Kinmont,76.0,138230.0
4200,2997726,Dreams,producer,Steven Spielberg,Q418809,P162,Q8877,8032,283553,Who was the producer of Dreams?,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",1.0," Dreams (夢, Yume) is a 1990 magical realist anthology film of eight vignettes written and directed by Akira Kurosawa, starring Akira Terao, Martin Scorsese, Chishū Ryū, Mieko Harada and Mitsuko Baisho. It was inspired by actual recurring dreams that Kurosawa said he had repeatedly. It was his first film in 45 years in which he was the sole author of the screenplay. An international co-production of Japan and the United States, Dreams was made five years after Ran, with assistance from a [ENTITY], and funded by Warner Bros. The film was screened out of competition at the 1990 Cannes Film Festival, and has consistently received positive reviews.",0.8891089558601379,Steven Soderbergh,2375.0,538180.0
4204,1976464,Rehab,producer,Mark Ronson,Q257517,P162,Q425821,9945,115303,Who was the producer of Rehab?,"[""Mark Ronson"", ""Mark Daniel Ronson"", ""DJ Ronson""]",1.0," ""Rehab"" is a song written and recorded by English singer-songwriter Amy Winehouse, from her second and final studio album Back to Black (2006). Produced by [ENTITY], the lyrics are autobiographical and address Winehouse's refusal to enter a rehabilitation clinic for alcohol. ""Rehab"" was released as the lead single from Back to Black in 2006, and it peaked at number 7 in the United Kingdom on its Singles Chart and number 9 in the United States on the Billboard Hot 100, becoming Winehouse's only top 10 hit in the US.",0.9243950843811036,Avicii,308.0,106581.0
4206,4369666,Hen Hop,producer,Norman McLaren,Q5712910,P162,Q716552,203,3269,Who was the producer of Hen Hop?,"[""Norman McLaren"", ""Norman MacLaren"", ""William Norman McLaren""]",1.0," Hen Hop is a 1942 drawn-on-film animation short created by [ENTITY] for the National Film Board of Canada. In it, a hen gradually breaks apart into an abstract movement of lines as it dances to a barn dance.",0.9210150241851808,Roman Kroitor,276.0,3212.0
4211,6344054,Episode,producer,Walter Reisch,Q872657,P162,Q213811,212,525,Who was the producer of Episode?,"[""Walter Reisch""]",1.0," Episode is an Austrian film from 1935. It belongs to the popular Austrian light romantic comedy genre known as the Wiener Film, but also contains, for a film of this genre, unusually serious social comment. It was written and produced by [ENTITY]. The film has a particular importance in German-language film history as the only Austrian film with a Jewish producer that was permitted to be imported and shown in Nazi Germany after 1933 and the ban on Jews working in the film industry.",0.9674418568611144,Wallace A. Carlson,3740.0,557.0
4231,1349568,About Face,producer,Hal Roach,Q18204812,P162,Q72792,154,9198,Who was the producer of About Face?,"[""Hal Roach""]",1.0," About Face is a 1942 American comedy film directed by Kurt Neumann and written by Eugene Conrad and Edward E. Seabrook. The film is the third of the [ENTITY]'s Streamliners Army film series with stars William Tracy and Joe Sawyer.  The film also features Jean Porter, Marjorie Lord, Margaret Dumont, Veda Ann Borg and Joe Cunningham. The film was released on April 16, 1942, by United Artists.",0.9609640836715698,Irwin Winkler,314.0,15942.0
4234,3684946,The Horror of Frankenstein,producer,Jimmy Sangster,Q507611,P162,Q967593,3858,1746,Who was the producer of The Horror of Frankenstein?,"[""Jimmy Sangster"", ""James Henry Kinmel Sangster""]",1.0," The Horror of Frankenstein is a 1970 British horror film by Hammer Film Productions that is both a semi-parody and semi-remake of the 1957 film The Curse of Frankenstein, of Hammer's Frankenstein series. It was produced and directed by [ENTITY], starring Ralph Bates, Kate O'Mara, Veronica Carlson and David Prowse as the monster. It was the only film in the Frankenstein series which did not star Peter Cushing. The original music score was composed by Malcolm Williamson.",0.9641637802124025,Michael Carreras,1981.0,1352.0
4252,5639288,Roy,producer,Bhushan Kumar,Q7372496,P162,Q4902221,8816,55143,Who was the producer of Roy?,"[""Bhushan Kumar"", ""Bhushan Kumar Dua""]",1.0," Roy is a 2015 Indian Hindi-language romantic drama film directed by debutant Vikramjit Singh and produced by a [ENTITY]. The movie features Ranbir Kapoor in the title role with Arjun Rampal and Jacqueline Fernandez in the lead roles. Shernaz Patel, Rajit Kapur and Shibani Dandekar appears in supporting roles. Anupam Kher appears in a cameo. The film is based on a filmmaker writing and directing movies about thefts and robberies. The movie had its premiere in Dubai on 12 February 2015 and was released worldwide on 13 February 2015 to negative reviews for the film’s story, screenplay, direction & slow narration, but praised the performances (especially Rampal’s and Kapoor’s), cinematography, locations, soundtrack, & the film’s dramatic score.",0.9643478989601136,Vashu Bhagnani,7748.0,67767.0
4268,4591436,Hard,producer,The-Dream,Q610224,P162,Q351055,1914,25238,Who was the producer of Hard?,"[""The-Dream"", ""Terius Youngdell Nash""]",1.0," ""Hard"" is a song by Barbadian recording artist Rihanna from her fourth studio album, Rated R (2009). The song features a guest verse from American rapper Young Jeezy, credited only as ""Jeezy"" on the album (and who is now officially known as such). The artists co-wrote the song with a [ENTITY]. ""Hard"" was sent to radio by Def Jam Recordings on November 10, 2009, as the second United States single from Rated R. It is a hip hop song and features military horns, hissing synthesizers, sharp beats and piano chords.",0.9461300373077391,Mike Stern,1398.0,35974.0
4278,3821678,Da,producer,Julie Corman,Q5207186,P162,Q6308099,471,2375,Who was the producer of Da?,"[""Julie Corman"", ""Julie Ann Corman""]",1.0," Da is a 1988 film directed by Matt Clark, produced by [ENTITY], and starring Martin Sheen, Barnard Hughes, reprising his Tony Award-winning Broadway performance, and William Hickey. The screenplay was written by Irish playwright and journalist Hugh Leonard, who adapted it from his 1978 play Da, with additional material from his autobiographical book Home Before Night.",0.9683754444122314,Jennifer Todd,3662.0,2344.0
4279,6477052,Carry On,producer,Peter Rogers,Q948916,P162,Q715904,27708,1381,Who was the producer of Carry On?,"[""Peter Rogers""]",1.0," Carry On is a British comedy franchise comprising 31 films, four Christmas specials, a television series and stage shows produced between 1958 and 1992. Produced by [ENTITY], the Carry On films were directed by Gerald Thomas and starred a regular ensemble that included Sid James, Kenneth Williams, Charles Hawtrey, Joan Sims, Kenneth Connor, Peter Butterworth, Hattie Jacques, Terry Scott, Bernard Bresslaw, Barbara Windsor, Jack Douglas, and Jim Dale. The humour of Carry On was in the British comic tradition of music hall and bawdy seaside postcards. The success of the films led to several spin-offs, including four Christmas television specials (1969–1973), a 1975 television series of 13 episodes and three West End stage shows that also toured the United Kingdom.",0.9600365161895752,Jerry Wald,537.0,3611.0
4289,2434510,Kristallnacht,producer,John Zorn,Q3199763,P162,Q298726,269,8915,Who was the producer of Kristallnacht?,"[""John Zorn""]",1.0, Kristallnacht is the seventh studio album by [ENTITY] first released in 1993 on the Japanese Eva label and subsequently in 1995 on Zorn's own Tzadik Records label.,0.9284030199050904,George Clinton,77464.0,11602.0
4319,1914177,Switch,producer,Golden Earring,Q2481084,P162,Q728049,955,28514,Who was the producer of Switch?,"[""Golden Earring""]",1.0," Switch is the tenth album by Dutch rock band [ENTITY], released in 1975.",0.9512996673583984,Madredeus,29371.0,29808.0
4335,1486818,Going Back,producer,Phil Collins,Q1930594,P162,Q144622,4029,264317,Who was the producer of Going Back?,"[""Phil Collins"", ""Philip David Charles Collins""]",1.0," Going Back is the eighth and most recent solo studio album by English singer-songwriter and drummer [ENTITY], released on 13 September 2010 by Atlantic Records. His first solo album in eight years, it features covers of 1960s Motown and soul standards.",0.9257566332817078,Jeff Beck,60.0,318003.0
